Assembly Accession	Assembly Level	Organism Taxonomic ID
GCA_002870325.1	Scaffold	1891710
GCF_002870385.1	Scaffold	1891711
GCA_002870385.1	Scaffold	1891711
GCF_002870365.1	Scaffold	1521425
GCA_002870365.1	Scaffold	1521425
GCF_002870195.1	Scaffold	1521426
GCA_002870195.1	Scaffold	1521426
GCF_041929345.1	Contig	3153654
GCA_041929345.1	Contig	3153654
GCF_041929205.1	Contig	3153639
GCA_041929205.1	Contig	3153639
GCF_041929275.1	Contig	3153642
GCA_041929275.1	Contig	3153642
GCF_041929135.1	Contig	3153640
GCA_041929135.1	Contig	3153640
GCF_000332295.1	Scaffold	643473
GCA_000332295.1	Scaffold	643473
GCA_044347285.1	Contig	2741322
GCF_015206815.1	Contig	1828611
GCF_963890305.1	Contig	1828611
GCA_015206815.1	Contig	1828611
GCA_963890305.1	Contig	1828611
GCF_039962075.1	Contig	2933945
GCA_039962075.1	Contig	2933945
GCF_039962095.1	Contig	2933946
GCA_039962095.1	Contig	2933946
GCF_039962115.1	Contig	2933947
GCA_039962115.1	Contig	2933947
GCF_039962055.1	Contig	2933948
GCA_039962055.1	Contig	2933948
GCF_039962035.1	Contig	2933949
GCA_039962035.1	Contig	2933949
GCF_030285425.1	Contig	2922238
GCA_030285425.1	Contig	2922238
GCA_001657325.1	Scaffold	1643526
GCA_028368005.1	Contig	3021717
GCA_002286845.1	Scaffold	2028210
GCF_012911965.1	Scaffold	2546230
GCA_012911965.1	Scaffold	2546230
GCF_000317045.1	Complete Genome	1173025
GCA_000317045.1	Complete Genome	1173025
GCF_001870905.1	Scaffold	111611
GCA_001870905.1	Scaffold	111611
GCA_011390275.1	Contig	2683720
GCF_030055445.1	Contig	358560
GCA_030055445.1	Contig	358560
GCA_044378995.1	Contig	3107390
GCF_000332235.1	Chromosome	113355
GCA_000332235.1	Chromosome	113355
GCF_041753295.1	Contig	2664100
GCA_025055395.1	Scaffold	2664100
GCA_025058545.1	Scaffold	2664100
GCA_026415175.1	Contig	2664100
GCA_033580515.1	Contig	2664100
GCA_033582915.1	Contig	2664100
GCA_041753295.1	Contig	2664100
GCF_016743215.1	Scaffold	2604140
GCA_016743215.1	Scaffold	2604140
GCA_015295805.1	Contig	2774334
GCF_001548095.1	Complete Genome	1615909
GCA_001548095.1	Complete Genome	1615909
GCF_001548115.1	Complete Genome	1617448
GCA_001548115.1	Complete Genome	1617448
GCF_000484535.1	Complete Genome	1183438
GCA_000484535.1	Complete Genome	1183438
GCF_021018745.1	Complete Genome	2781736
GCA_021018745.1	Complete Genome	2781736
GCF_000011385.1	Complete Genome	251221
GCA_000011385.1	Complete Genome	251221
GCA_031399965.1	Contig	2964584
GCA_031398925.1	Contig	2964585
GCA_038226175.1	Contig	2804778
GCA_038245785.1	Contig	2804778
GCA_014380935.1	Contig	2812628
GCA_014379585.1	Contig	2812629
GCF_040328315.1	Scaffold	3160964
GCA_040328315.1	Scaffold	3160964
GCA_007693955.1	Contig	2480214
GCF_000332035.1	Contig	102232
GCA_000332035.1	Contig	102232
GCF_000317555.1	Complete Genome	1173026
GCF_963861055.1	Contig	1173026
GCA_000317555.1	Complete Genome	1173026
GCA_963861055.1	Contig	1173026
GCA_019359535.1	Contig	2839657
GCF_015207655.1	Contig	588587
GCF_963889065.1	Contig	588587
GCA_015207655.1	Contig	588587
GCA_963889065.1	Contig	588587
GCF_032163395.1	Complete Genome	2859516
GCA_032163395.1	Complete Genome	2859516
GCF_002964865.1	Contig	1433147
GCF_009728615.1	Contig	1433147
GCF_963877155.1	Contig	1433147
GCF_963887075.1	Contig	1433147
GCA_002964865.1	Contig	1433147
GCA_009728615.1	Contig	1433147
GCA_963877155.1	Contig	1433147
GCA_963887075.1	Contig	1433147
GCF_002749975.1	Contig	2049454
GCA_002749975.1	Contig	2049454
GCF_001870225.1	Chromosome	1188229
GCA_001870225.1	Chromosome	1188229
GCA_039795005.1	Scaffold	3064309
GCA_039805945.1	Scaffold	3064312
GCA_039794925.1	Scaffold	3064314
GCA_039794865.1	Scaffold	3064316
GCA_039795125.1	Scaffold	3064301
GCA_039795105.1	Contig	3064302
GCA_039794985.1	Scaffold	3064306
GCA_039795045.1	Scaffold	3064307
GCA_039805965.1	Scaffold	3064335
GCA_039794785.1	Scaffold	3064320
GCA_039794805.1	Contig	3064321
GCA_039794485.1	Scaffold	3064337
GCA_039794445.1	Scaffold	3064338
GCA_039794625.1	Scaffold	3064329
GCA_039794765.1	Scaffold	3064322
GCA_039794725.1	Scaffold	3064324
GCA_039794665.1	Scaffold	3064325
GCA_025062155.1	Scaffold	2972682
GCA_025060435.1	Scaffold	2972683
GCA_033580095.1	Scaffold	3074505
GCA_025056115.1	Scaffold	2972684
GCA_025054555.1	Scaffold	2972685
GCA_033583715.1	Scaffold	3074506
GCA_039794565.1	Scaffold	3064331
GCA_039794645.1	Scaffold	3064328
GCA_028128365.1	Contig	2957741
GCA_015272465.1	Contig	2747801
GCA_022206215.1	Complete Genome	2898145
GCA_927797885.1	Complete Genome	2898145
GCF_000021825.1	Complete Genome	65393
GCA_000021825.1	Complete Genome	65393
GCF_000147335.1	Complete Genome	497965
GCA_000147335.1	Complete Genome	497965
GCA_038087035.1	Complete Genome	2723856
GCA_023657325.1	Contig	2824560
GCA_042692285.1	Complete Genome	3350243
GCA_044881325.1	Scaffold	3242444
GCA_038087005.1	Complete Genome	2723855
GCA_019359495.1	Contig	1382955
GCA_016903655.1	Contig	1521640
GCF_002075285.3	Complete Genome	1641165
GCA_002075285.3	Complete Genome	1641165
GCA_036704045.1	Contig	3069305
GCF_016888165.1	Contig	2767773
GCA_016888165.1	Contig	2767773
GCA_042218725.1	Scaffold	3100313
GCA_046539345.1	Contig	3100313
GCA_046540715.1	Contig	3100313
GCA_046541295.1	Contig	3100313
GCA_046546075.1	Contig	3100313
GCA_018610095.1	Contig	2837559
GCF_000317635.1	Complete Genome	65093
GCA_000317635.1	Complete Genome	65093
GCA_031580825.1	Scaffold	3074377
GCF_029953635.1	Complete Genome	1539056
GCA_029953635.1	Complete Genome	1539056
GCF_034931985.1	Scaffold	3110297
GCA_034931985.1	Scaffold	3110297
GCF_001275395.1	Scaffold	1704290
GCA_001275395.1	Scaffold	1704290
GCA_040378045.1	Contig	3078746
GCA_003261315.1	Scaffold	2109628
GCF_000817785.2	Scaffold	1304833
GCA_000817785.2	Scaffold	1304833
GCA_019359425.1	Contig	2835088
GCA_044006015.1	Scaffold	1735366
GCA_014323895.1	Scaffold	2653676
GCA_014323675.1	Contig	2653677
GCA_005518205.2	Scaffold	2480853
GCA_014324065.1	Scaffold	2653674
GCA_014324025.1	Scaffold	2653675
GCF_001904635.1	Scaffold	1921803
GCA_001904635.1	Scaffold	1921803
GCA_015272405.1	Contig	2747803
GCA_012034135.1	Contig	2720400
GCA_012034605.1	Contig	2720412
GCA_025454425.1	Contig	2929567
GCA_012033545.1	Contig	2720429
GCA_012032735.1	Scaffold	2720440
GCA_012031055.1	Contig	2720475
GCF_002260545.1	Scaffold	1671698
GCA_002260545.1	Scaffold	1671698
GCF_900659865.1	Scaffold	945734
GCA_900659865.1	Scaffold	945734
GCA_012034765.1	Contig	2720408
GCA_964657295.1	Scaffold	3100476
GCF_014698965.1	Scaffold	2748662
GCF_963889845.1	Scaffold	2748662
GCA_014698965.1	Scaffold	2748662
GCA_963889845.1	Scaffold	2748662
GCA_019359415.1	Contig	1494767
GCA_035967995.1	Scaffold	2684450
GCA_035968035.1	Scaffold	2684451
GCA_035968055.1	Scaffold	2684452
GCF_010156995.1	Scaffold	2499850
GCA_010156995.1	Scaffold	2499850
GCA_019359435.1	Contig	2057771
GCF_028330895.1	Contig	3021788
GCA_028330895.1	Contig	3021788
GCF_030163865.1	Contig	2922243
GCA_030163865.1	Contig	2922243
GCF_000332155.1	Scaffold	402777
GCA_000332155.1	Scaffold	402777
GCA_035298405.1	Contig	2719036
GCF_000180455.1	Contig	272129
GCA_000180455.1	Contig	272129
GCA_010672865.1	Scaffold	2607808
GCA_010692335.1	Contig	2607773
GCF_029167235.1	Scaffold	3031329
GCA_029167235.1	Scaffold	3031329
GCA_019359445.1	Contig	1446484
GCA_019359395.1	Contig	2024215
GCF_014831675.1	Scaffold	2593771
GCA_014831675.1	Scaffold	2593771
GCF_020091585.1	Complete Genome	2653194
GCA_020091585.1	Complete Genome	2653194
GCF_025370815.1	Scaffold	2953687
GCA_025370815.1	Scaffold	2953687
GCF_025370785.1	Scaffold	2953688
GCA_025370785.1	Scaffold	2953688
GCF_025370725.1	Scaffold	2953689
GCA_025370725.1	Scaffold	2953689
GCF_025370715.1	Scaffold	2953690
GCA_025370715.1	Scaffold	2953690
GCF_025370845.1	Scaffold	2953684
GCA_025370845.1	Scaffold	2953684
GCF_025370835.1	Scaffold	2976350
GCA_025370835.1	Scaffold	2976350
GCF_025370875.1	Scaffold	2953685
GCA_025370875.1	Scaffold	2953685
GCF_025370755.1	Scaffold	2953686
GCA_025370755.1	Scaffold	2953686
GCF_021379005.1	Complete Genome	2835870
GCA_021379005.1	Complete Genome	2835870
GCF_032620035.1	Complete Genome	3060204
GCA_032620035.1	Complete Genome	3060204
GCF_002142495.1	Complete Genome	1260963
GCA_002142495.1	Complete Genome	1260963
GCF_039962545.1	Contig	2933936
GCA_039962545.1	Contig	2933936
GCF_002142475.1	Complete Genome	411966
GCA_002142475.1	Complete Genome	411966
GCF_022372495.1	Complete Genome	462680
GCA_022372495.1	Complete Genome	462680
GCF_002368255.1	Complete Genome	1973484
GCA_002368255.1	Complete Genome	1973484
GCF_000353285.1	Scaffold	272134
GCA_000353285.1	Scaffold	272134
GCF_015207065.1	Contig	1828722
GCA_015207065.1	Contig	1828722
GCA_003242035.1	Scaffold	47253
GCF_004212215.1	Scaffold	2294035
GCA_004212215.1	Scaffold	2294035
GCF_002215035.1	Scaffold	2009322
GCA_002215035.1	Scaffold	2009322
GCA_003249025.1	Scaffold	47254
GCA_003249105.1	Scaffold	47254
GCA_003249155.1	Scaffold	47254
GCA_014338235.1	Contig	47254
GCA_035285145.1	Contig	47254
GCA_035285305.1	Contig	47254
GCA_035496615.1	Contig	47254
GCA_040374235.1	Contig	47254
GCA_040374765.1	Contig	47254
GCA_040381765.1	Contig	47254
GCA_040381875.1	Contig	47254
GCA_043737265.1	Contig	47254
GCF_001939115.1	Contig	1922337
GCA_001939115.1	Contig	1922337
GCF_018128505.1	Chromosome	2819933
GCA_018128505.1	Chromosome	2819933
GCF_018128485.1	Chromosome	2812896
GCA_018128485.1	Chromosome	2812896
GCF_039962495.1	Contig	2933919
GCA_039962495.1	Contig	2933919
GCF_039962525.1	Contig	2933913
GCA_039962525.1	Contig	2933913
GCF_002286735.1	Contig	2029589
GCA_002286735.1	Contig	2029589
GCA_041937185.1	Complete Genome	3104317
GCF_016403105.1	Complete Genome	1115757
GCA_016403105.1	Complete Genome	1115757
GCA_030248865.1	Contig	3007085
GCF_034932455.1	Contig	3110255
GCA_034932455.1	Contig	3110255
GCF_016888135.1	Contig	2767772
GCA_016888135.1	Contig	2767772
GCF_016807185.1	Scaffold	2803751
GCA_016807185.1	Scaffold	2803751
GCA_007694125.1	Contig	2480212
GCA_007694115.1	Contig	2480213
GCF_039962505.1	Contig	2933920
GCA_039962505.1	Contig	2933920
GCA_040289665.1	Scaffold	2083155
GCA_040289835.1	Scaffold	2083154
GCA_014380065.1	Contig	2811348
GCF_039962455.1	Contig	2933931
GCA_039962455.1	Contig	2933931
GCF_014696095.1	Contig	2692800
GCA_014696095.1	Contig	2692800
GCF_014697225.1	Contig	2692801
GCA_014697225.1	Contig	2692801
GCF_014695405.1	Contig	2692802
GCF_047649235.1	Complete Genome	2692802
GCA_014695405.1	Contig	2692802
GCA_047649235.1	Complete Genome	2692802
GCF_014696055.1	Contig	2692803
GCA_014696055.1	Contig	2692803
GCF_014697285.1	Contig	2692804
GCA_014697285.1	Contig	2692804
GCF_014697265.1	Contig	2692805
GCA_014697265.1	Contig	2692805
GCF_014696065.1	Contig	2692806
GCA_014696065.1	Contig	2692806
GCF_014695975.1	Contig	2692807
GCA_014695975.1	Contig	2692807
GCF_014695955.1	Contig	2692808
GCA_014695955.1	Contig	2692808
GCF_014697245.1	Contig	2692809
GCA_014697245.1	Contig	2692809
GCF_014695875.1	Contig	2692810
GCA_014695875.1	Contig	2692810
GCF_014695775.1	Contig	2692811
GCA_014695775.1	Contig	2692811
GCF_014695745.1	Contig	2692812
GCA_014695745.1	Contig	2692812
GCF_014695615.1	Contig	2692813
GCA_014695615.1	Contig	2692813
GCF_014695575.1	Contig	2692814
GCA_014695575.1	Contig	2692814
GCF_039962475.1	Contig	2933908
GCA_039962475.1	Contig	2933908
GCF_039962405.1	Contig	2933914
GCA_039962405.1	Contig	2933914
GCF_039962385.1	Scaffold	2933915
GCA_039962385.1	Scaffold	2933915
GCF_026735145.1	Contig	2997907
GCA_026735145.1	Contig	2997907
GCF_000482245.1	Contig	1385935
GCA_000482245.1	Contig	1385935
GCA_003724315.2	Complete Genome	2483801
GCF_000763385.1	Contig	1229172
GCA_000763385.1	Contig	1229172
GCA_007692715.1	Contig	2480211
GCF_001485215.1	Contig	1552121
GCF_963869305.1	Contig	1552121
GCA_001485215.1	Contig	1552121
GCA_963869305.1	Contig	1552121
GCF_001548435.1	Complete Genome	1752064
GCA_001548435.1	Complete Genome	1752064
GCF_039962415.1	Contig	2933916
GCA_039962415.1	Contig	2933916
GCF_039962355.1	Contig	2933909
GCA_039962355.1	Contig	2933909
GCF_039962365.1	Contig	2933910
GCA_039962365.1	Contig	2933910
GCF_001548395.1	Complete Genome	1080068
GCA_001548395.1	Complete Genome	1080068
GCF_000332095.2	Scaffold	1173264
GCA_000332095.2	Scaffold	1173264
GCF_000316115.1	Scaffold	102129
GCA_000316115.1	Scaffold	102129
GCF_039962315.1	Contig	2933917
GCA_021405265.1	Contig	2933917
GCA_039962315.1	Contig	2933917
GCF_039962325.1	Scaffold	2933911
GCA_021405305.1	Contig	2933911
GCA_039962325.1	Scaffold	2933911
GCA_021405315.1	Contig	2293555
GCA_025454375.1	Scaffold	2929570
GCA_012032425.1	Contig	2720425
GCA_010672895.1	Contig	2607807
GCA_010672825.2	Contig	2607768
GCA_010672145.1	Scaffold	2607780
GCA_010671975.1	Contig	2607770
GCA_010671965.1	Contig	2607774
GCA_010671905.1	Scaffold	2607771
GCF_039962275.1	Contig	2933918
GCA_039962275.1	Contig	2933918
GCA_031399305.1	Contig	2964709
GCF_039962215.1	Contig	2933912
GCA_039962215.1	Contig	2933912
GCF_017302695.1	Contig	2815653
GCA_017302695.1	Contig	2815653
GCF_039962255.1	Contig	2933932
GCA_039962255.1	Contig	2933932
GCF_039962245.1	Contig	2933933
GCA_039962245.1	Contig	2933933
GCF_039962195.1	Contig	2933934
GCA_039962195.1	Contig	2933934
GCF_001637395.1	Contig	322866
GCA_000169975.1	Scaffold	322866
GCA_001637395.1	Contig	322866
GCA_035284985.1	Contig	3088178
GCA_035285265.1	Contig	3088178
GCA_035285885.1	Contig	3088178
GCA_036703965.1	Contig	3088178
GCA_036703985.1	Contig	3088178
GCA_036704005.1	Contig	3088178
GCA_036704105.1	Contig	3088178
GCA_036704145.1	Contig	3088178
GCA_041749615.1	Contig	3088178
GCA_041752515.1	Contig	3088178
GCA_043752945.1	Contig	3088178
GCA_046080785.1	Contig	3088178
GCA_033764965.1	Contig	2971802
GCA_033764685.1	Contig	2971803
GCA_033763635.1	Contig	2971804
GCA_015272515.1	Contig	2811131
GCA_026786205.1	Contig	2883483
GCA_027451865.1	Scaffold	2954815
GCA_012034795.1	Contig	2720406
GCA_007123155.1	Contig	2528443
GCA_007126585.1	Contig	2528444
GCA_007135385.1	Contig	2528445
GCA_012034655.1	Contig	2720410
GCA_012034615.1	Contig	2720411
GCA_031971215.1	Scaffold	2953784
GCA_031970215.1	Scaffold	2953785
GCA_031970135.1	Scaffold	2953786
GCA_023511615.1	Contig	2855467
GCF_000309945.1	Chromosome	864702
GCA_000309945.1	Chromosome	864702
GCA_014378945.1	Contig	2804780
GCA_014377325.1	Contig	2804781
GCA_015296075.1	Contig	2747805
GCA_015295885.1	Contig	2747810
GCA_019634055.1	Contig	2847291
GCA_030065175.1	Contig	3036643
GCA_030248885.1	Contig	3007087
GCA_031374485.1	Contig	2964586
GCA_012032345.1	Contig	2720427
GCA_012033405.1	Contig	2720433
GCA_012033355.1	Contig	2720434
GCA_012032335.1	Contig	2720438
GCA_012033305.1	Contig	2720439
GCA_012034055.1	Contig	2720449
GCA_012032635.1	Contig	2720450
GCA_012032515.1	Contig	2720452
GCA_012032565.1	Scaffold	2720453
GCA_012032525.1	Contig	2720454
GCA_012031865.1	Contig	2720455
GCA_012031475.1	Contig	2720458
GCA_012031415.1	Contig	2720459
GCA_012031115.1	Contig	2720470
GCA_012031045.1	Contig	2720474
GCA_012030915.1	Scaffold	2720479
GCA_015272155.1	Contig	2747813
GCA_040830845.1	Scaffold	3126709
GCA_038208945.1	Contig	3107458
GCA_038227635.1	Contig	3107458
GCA_038231055.1	Contig	3107458
GCA_038234605.1	Contig	3107458
GCA_038236485.1	Contig	3107458
GCA_038247585.1	Contig	3107458
GCA_038247695.1	Contig	3107458
GCA_038250345.1	Contig	3107458
GCA_038251455.1	Contig	3107458
GCA_038252345.1	Contig	3107458
GCA_038253255.1	Contig	3107458
GCA_038253425.1	Contig	3107458
GCA_038330985.1	Contig	3107458
GCF_019891175.1	Complete Genome	2016068
GCA_019891175.1	Complete Genome	2016068
GCF_018739865.1	Scaffold	2364775
GCA_018739865.1	Scaffold	2364775
GCA_043421015.1	Contig	3107686
GCA_043421595.1	Contig	3102775
GCA_032906605.1	Contig	3042321
GCF_034932105.1	Scaffold	3110254
GCA_034932105.1	Scaffold	3110254
GCF_018739885.1	Scaffold	1967444
GCA_018739885.1	Scaffold	1967444
GCF_024178385.1	Scaffold	2699891
GCA_024178385.1	Scaffold	2699891
GCA_028368055.1	Contig	1118279
GCA_044375435.1	Contig	1118279
GCF_034932365.1	Scaffold	3110303
GCA_034932365.1	Scaffold	3110303
GCF_034932265.1	Scaffold	3110306
GCA_034932265.1	Scaffold	3110306
GCF_034932405.1	Contig	3110307
GCA_034932405.1	Contig	3110307
GCF_000972705.2	Scaffold	1637645
GCA_000972705.2	Scaffold	1637645
GCF_034932045.1	Scaffold	3110304
GCA_034932045.1	Scaffold	3110304
GCA_022184905.1	Chromosome	2824556
GCA_046480425.1	Scaffold	1982226
GCF_014489865.2	Chromosome	2759955
GCA_014489865.2	Chromosome	2759955
GCF_034191835.1	Scaffold	3076243
GCA_034191835.1	Scaffold	3076243
GCF_041060585.1	Scaffold	3156243
GCA_041060585.1	Scaffold	3156243
GCF_038086985.1	Contig	2219512
GCA_038086985.1	Contig	2219512
GCF_012516315.1	Complete Genome	1521533
GCA_012516315.1	Complete Genome	1521533
GCF_014250495.1	Chromosome	2760438
GCA_014250495.1	Chromosome	2760438
GCF_000973065.1	Chromosome	376219
GCA_000973065.1	Chromosome	376219
GCA_040505585.1	Contig	129910
GCA_040505625.1	Contig	129910
GCF_000173555.1	Contig	513049
GCA_000173555.1	Contig	513049
GCF_032349115.1	Contig	2981108
GCA_032349115.1	Contig	2981108
GCF_032350315.1	Contig	2981018
GCA_032350315.1	Contig	2981018
GCF_032350165.1	Contig	2981021
GCA_032350165.1	Contig	2981021
GCF_032350155.1	Contig	2981032
GCA_032350155.1	Contig	2981032
GCF_032350135.1	Contig	2981034
GCA_032350135.1	Contig	2981034
GCF_032350105.1	Contig	2981036
GCA_032350105.1	Contig	2981036
GCF_032350055.1	Contig	2981038
GCA_032350055.1	Contig	2981038
GCF_032349905.1	Contig	2981040
GCA_032349905.1	Contig	2981040
GCF_032349925.1	Contig	2981041
GCA_032349925.1	Contig	2981041
GCF_032349855.1	Contig	2981043
GCA_032349855.1	Contig	2981043
GCF_032349865.1	Contig	2981047
GCA_032349865.1	Contig	2981047
GCF_032349795.1	Contig	2981050
GCA_032349795.1	Contig	2981050
GCF_032349665.1	Contig	2981052
GCA_032349665.1	Contig	2981052
GCF_032349705.1	Contig	2981054
GCA_032349705.1	Contig	2981054
GCF_032349635.1	Contig	2981059
GCA_032349635.1	Contig	2981059
GCF_032349615.1	Scaffold	2981062
GCA_032349615.1	Scaffold	2981062
GCF_032349535.1	Contig	2981063
GCA_032349535.1	Contig	2981063
GCF_032349445.1	Contig	2981064
GCA_032349445.1	Contig	2981064
GCF_032349365.1	Contig	2981069
GCA_032349365.1	Contig	2981069
GCF_032349395.1	Contig	2981073
GCA_032349395.1	Contig	2981073
GCF_032349385.1	Contig	2981074
GCA_032349385.1	Contig	2981074
GCF_032349335.1	Contig	2981076
GCA_032349335.1	Contig	2981076
GCF_032349175.1	Contig	2981078
GCA_032349175.1	Contig	2981078
GCF_032349105.1	Contig	2981081
GCA_032349105.1	Contig	2981081
GCF_032349125.1	Contig	2981089
GCA_032349125.1	Contig	2981089
GCF_032350395.1	Contig	2981094
GCA_032350395.1	Contig	2981094
GCF_032350375.1	Contig	2981095
GCA_032350375.1	Contig	2981095
GCF_032350335.1	Contig	2981100
GCA_032350335.1	Contig	2981100
GCF_032350255.1	Contig	2981106
GCA_032350255.1	Contig	2981106
GCF_043235035.1	Scaffold	3112953
GCA_043235035.1	Scaffold	3112953
GCA_035282005.1	Contig	3100312
GCA_044355355.1	Contig	3100312
GCA_041937175.1	Complete Genome	3104318
GCA_001913845.2	Contig	1890733
GCF_014696485.1	Contig	2692815
GCA_014696485.1	Contig	2692815
GCF_014696455.1	Contig	2692816
GCA_014696455.1	Contig	2692816
GCF_014698235.1	Contig	2692817
GCA_014698235.1	Contig	2692817
GCF_014698215.1	Contig	2692818
GCA_014698215.1	Contig	2692818
GCF_014698135.1	Contig	2692819
GCA_014698135.1	Contig	2692819
GCA_001698445.1	Scaffold	1880902
GCF_002742025.1	Scaffold	1704291
GCA_002742025.1	Scaffold	1704291
GCA_012033055.1	Scaffold	2720421
GCF_015207425.1	Contig	945747
GCA_015207425.1	Contig	945747
GCA_937120785.1	Contig	118322
GCF_000478195.2	Contig	1348334
GCA_000478195.2	Contig	1348334
GCF_000817775.3	Scaffold	1574623
GCA_000817775.3	Scaffold	1574623
GCA_035285085.1	Contig	3100233
GCF_026130175.1	Scaffold	439293
GCA_026130175.1	Scaffold	439293
GCF_035615495.1	Contig	2886103
GCA_035615495.1	Contig	2886103
GCA_019359375.1	Contig	2835090
GCF_000169095.1	Contig	313612
GCA_000169095.1	Contig	313612
GCF_000315565.1	Scaffold	221288
GCA_000315565.1	Scaffold	221288
GCF_001990805.3	Scaffold	1594576
GCA_001990805.3	Scaffold	1594576
GCA_003346915.1	Scaffold	1521402
GCA_040290355.1	Scaffold	2083157
GCA_040290165.1	Scaffold	2083156
GCA_030066035.1	Contig	3036634
GCF_030065675.1	Contig	3036635
GCA_030065675.1	Contig	3036635
GCF_001456025.1	Contig	371196
GCF_000472885.1	Scaffold	371196
GCA_000472885.1	Scaffold	371196
GCA_001456025.1	Contig	371196
GCF_003003775.1	Contig	1296344
GCF_963876965.1	Contig	1296344
GCA_003003775.1	Contig	1296344
GCA_963876965.1	Contig	1296344
GCA_010672605.1	Contig	2607779
GCA_035286205.1	Contig	3078742
GCA_040373455.1	Contig	3078742
GCA_040373745.1	Contig	3078742
GCA_040382535.1	Contig	3078742
GCF_002368275.1	Chromosome	1973485
GCA_002368275.1	Chromosome	1973485
GCA_036703105.1	Contig	3087179
GCA_037440985.1	Scaffold	2967328
GCA_030064835.1	Contig	3036644
GCA_011391025.1	Contig	2683723
GCA_003506815.1	Scaffold	2055793
GCA_003483675.1	Scaffold	2055792
GCA_003542015.1	Scaffold	2055794
GCF_042465725.1	Complete Genome	2705319
GCA_042465645.1	Complete Genome	2705319
GCA_042465725.1	Complete Genome	2705319
GCF_037911335.1	Contig	2705320
GCA_037911335.1	Contig	2705320
GCF_037911375.1	Contig	2705321
GCA_037911375.1	Contig	2705321
GCF_037911295.1	Contig	2705322
GCA_037911295.1	Contig	2705322
GCF_013179805.1	Scaffold	2563858
GCF_963889565.1	Scaffold	2563858
GCA_013179805.1	Scaffold	2563858
GCA_963889565.1	Scaffold	2563858
GCF_041354475.1	Scaffold	44472
GCF_041354495.1	Scaffold	44472
GCF_041354515.1	Scaffold	44472
GCF_041354525.1	Scaffold	44472
GCF_041354675.1	Scaffold	44472
GCF_041354945.1	Scaffold	44472
GCF_041739635.1	Contig	44472
GCA_035458225.1	Contig	44472
GCA_039922675.1	Contig	44472
GCA_039937695.1	Contig	44472
GCA_041354475.1	Scaffold	44472
GCA_041354495.1	Scaffold	44472
GCA_041354505.1	Scaffold	44472
GCA_041354515.1	Scaffold	44472
GCA_041354525.1	Scaffold	44472
GCA_041354655.1	Scaffold	44472
GCA_041354675.1	Scaffold	44472
GCA_041354715.1	Scaffold	44472
GCA_041354745.1	Scaffold	44472
GCA_041354795.1	Scaffold	44472
GCA_041354815.1	Scaffold	44472
GCA_041354945.1	Scaffold	44472
GCA_041737455.1	Contig	44472
GCA_041739635.1	Contig	44472
GCA_042408215.1	Contig	44472
GCA_043736735.1	Contig	44472
GCA_046708625.1	Contig	44472
GCA_047445075.1	Contig	44472
GCF_036702825.1	Scaffold	3055266
GCA_036702825.1	Scaffold	3055266
GCF_036702805.1	Scaffold	3055267
GCA_036702805.1	Scaffold	3055267
GCF_036706085.1	Scaffold	2818530
GCA_036706085.1	Scaffold	2818530
GCF_036706065.1	Scaffold	2818531
GCA_036706065.1	Scaffold	2818531
GCF_036706045.1	Scaffold	2818533
GCA_036706045.1	Scaffold	2818533
GCF_036706025.1	Scaffold	2818536
GCA_036706025.1	Scaffold	2818536
GCF_036706005.1	Scaffold	2818537
GCA_036706005.1	Scaffold	2818537
GCF_036705985.1	Scaffold	2818538
GCA_036705985.1	Scaffold	2818538
GCF_036705975.1	Scaffold	2818547
GCA_036705975.1	Scaffold	2818547
GCF_036705955.1	Scaffold	2818548
GCA_036705955.1	Scaffold	2818548
GCF_036705925.1	Scaffold	2818549
GCA_036705925.1	Scaffold	2818549
GCF_036705915.1	Scaffold	2818552
GCA_036705915.1	Scaffold	2818552
GCF_036702785.1	Scaffold	3055284
GCA_036702785.1	Scaffold	3055284
GCF_036705875.1	Scaffold	2818556
GCA_036705875.1	Scaffold	2818556
GCF_036705895.1	Scaffold	2818557
GCA_036705895.1	Scaffold	2818557
GCF_036705855.1	Scaffold	2818558
GCA_036705855.1	Scaffold	2818558
GCF_036705835.1	Scaffold	2818559
GCA_036705835.1	Scaffold	2818559
GCF_036705805.1	Scaffold	2818560
GCA_036705805.1	Scaffold	2818560
GCF_036705795.1	Scaffold	2818563
GCA_036705795.1	Scaffold	2818563
GCF_039962225.1	Contig	2933950
GCA_039962225.1	Contig	2933950
GCF_036705775.1	Scaffold	2818574
GCA_036705775.1	Scaffold	2818574
GCF_036702765.1	Scaffold	3055286
GCA_036702765.1	Scaffold	3055286
GCF_036705755.1	Scaffold	2818590
GCA_036705755.1	Scaffold	2818590
GCF_036705725.1	Scaffold	2818591
GCA_036705725.1	Scaffold	2818591
GCF_036705685.1	Scaffold	2818610
GCA_036705685.1	Scaffold	2818610
GCF_036705715.1	Scaffold	2818612
GCA_036705715.1	Scaffold	2818612
GCF_036705675.1	Scaffold	2818614
GCA_036705675.1	Scaffold	2818614
GCF_036705655.1	Scaffold	2818615
GCA_036705655.1	Scaffold	2818615
GCF_036705615.1	Scaffold	2818617
GCA_036705615.1	Scaffold	2818617
GCF_036705605.1	Scaffold	2818618
GCA_036705605.1	Scaffold	2818618
GCF_036705595.1	Scaffold	2818620
GCA_036705595.1	Scaffold	2818620
GCF_036705565.1	Scaffold	2818621
GCA_036705565.1	Scaffold	2818621
